id,name,final
6763,"Midnight Glaive",1
6768,"Mind Stick "Wizard"",1
6773,"Hermit Scissors",1
6779,"Nightmare",1
6783,"Cannibal Happa",1
6787,"Paralyzing Vine",1
6791,"Fimbulvetr",1
6795,"Lana Sedition",1
6799,"Lightbreak Press",1
6803,"Icephantom",1
6809,"Demonlord Grudgel",1
6815,"Bounding Dalamadur",1
6821,"Universus",1
6824,"Daora's Samudra",1
6827,"Ukanlos Skytraveler",1
6831,"True Fatalis Dyaus",1
6834,"Mind Stick "Fiend"",1
6837,"Medusa Mirror",1
6840,"Iörovellir",1
6843,"Tyrant Rod",1
6846,"Anubis",1
6849,"Wehmut/Merveille",1
6852,"Hazy Caster",1
6855,"Eldaora's Samudra",1
6858,"Limbo Lacrimosa",1
6861,"Hellruin Glaive "Omen"",1
6864,"Fatalis Overlord",1
6865,"クリマ・タクト",1
6866,"Clockwork",1
6867,"断罪の銃棍Ｊ",1
6894,"Orcus Barqus",1
6908,"Vert Shooter+",1
6927,"L'Éden",1
6937,"Garuga Espringal",1
6943,"Plesioth Drencher",1
6948,"Blood Injection",1
6954,"Arctica Cannon",1
6960,"Lightbreak Gun",1
6963,"Blitz Kirin King",1
6969,"Blue Burst",1
6973,"Doomgun "Dementia"",1
6977,"Diamond Crest",1
6979,"Felyne Heavendoll",1
6984,"Nether Phloxion",1
6988,"Vayu Sedition",1
6991,"Frigid Kirin King",1
6995,"Demonlord Cannon",1
7000,"Buoyant Dalamadur",1
7002,"Daora's Hornet",1
7004,"Ukanlos Skylighter",1
7006,"Dark Parasol",1
7008,"Gobul Ganador",1
7011,"Heavy Grisfire",1
7012,"Fäulnis/Vertu",1
7013,"Genie's Lamp",1
7014,"Eldaora's Hornet",1
7015,"Bethorned Dystopia",1
7016,"Dith Valor",1
7017,"Absolute Bowgun",1
7019,"Demon's Island",1
7022,"God's Archipelago",1
7024,"Kettleblower Deluxe",1
7026,"Hexed Shaka Bow",1
7027,"Frilly Pink Parasol",1
7028,"Arm Cannon",1
7041,"Empress's Doublefleur",1
7059,"Gravios Gigacannon",1
7064,"Captain Verde",1
7068,"Orcus Quarcus",1
7070,"Stygian Humilitas",1
7079,"Livid Griscannon",1
7084,"Lightbreak Cannon",1
7088,"Griffon Blazooka",1
7093,"Eigoh",1
7097,"Cartilage Blaster 0
7108,"Arzuros Yokozuna",1
7112,"Precision Pico Peco",1
7116,"Le Déluge",1
7122,"Azure Buster",1
7125,"Monodevilblaster",1
7129,"Furia Sedition",1
7132,"Daora's Ceti",1
7135,"Teostra's Firestorm",1
7138,"Lunastra's Firestorm",1
7143,"Militant Dalamadur",1
7146,"Altheos Aetheria",1
7149,"Vor Blaster",1
7151,"Akantor Skysounder",1
7153,"Ukanlos Skyblaster",1
7154,"Verrat/Foi",1
7155,"Kamaeleon",1
7156,"Eldaora's Delphinidae",1
7157,"Trembling Lordship",1
7158,"Destiny's Arm",1
7159,"Fatalis Enslaver",1
7181,"Artemis Moonmaker",1
7188,"Golden Ray",1
7200,"Garuga Oyumi",1
7213,"Soaring Grisbow",1
7221,"Crystal Lode",1
7227,"Splattika",1
7235,"Wide Weblivion",1
7238,"Viand Bowfish",1
7244,"Uranus Herald",1
7253,"Charonian Patientia",1
7259,"L'Innocence",1
7263,"Great Kelbi Deershot",1
7267,"Tamanoya",1
7272,"Great Purple Emperor II",1
7275,"Fluctus",1
7278,"Gigantomachy",1
7282,"Kama Sedition",1
7286,"Archbeast Paragon",1
7289,"Daora's Toxotes",1
7294,"Enraged Dalamadur",1
7296,"Courageous Wish",1
7299,"Heedful Elizabeth",1
7301,"Akantor Chaos Bow",1
7302,"Ukanlos Bow",1
7303,"Ukanlos Skyflier",1
7305,"Exterminator Bow II",1
7307,"Cera Cyclord",1
7308,"Verzweiflung/Désir",1
7309,"Genie's Grimoire",1
7310,"Eldaora's Sagittarii",1
7312,"Calamitous Cupid",1
7313,"Red Heaven Ruiner",1
7314,"Victory and Glory",1
7317,"Bamboo Kaguya",1
7319,"黒カブト",1
7322,"Sacred Bow G",1
7323,"Seahorse Harp",1
7324,"Emperor's Speech",1
